Play,Qtr,Down,Dist,Formation,Result,Yards,EPA,DCI,DIS,DCI Rating,DIS Rating,Coverage
1315,2,3,4,PISTOL,Complete,5,1.09,0.317,0.387,Moderate,Mixed,COVER_2_ZONE
1363,2,2,10,SHOTGUN,Incomplete,0,-1.03,0.295,0.361,Loose,Mixed,COVER_4_ZONE
1386,2,3,10,SHOTGUN,Complete,9,0.83,0.329,0.218,Moderate,Chaotic,COVER_2_ZONE
1506,2,2,8,SHOTGUN,Complete,3,-0.46,0.316,0.515,Moderate,Mixed,COVER_3_ZONE
1531,2,3,5,SHOTGUN,Interception,0,-5.31,0.360,0.656,Moderate,Disciplined,COVER_3_ZONE
1602,2,2,13,SHOTGUN,Incomplete,0,-0.72,0.341,0.798,Moderate,Disciplined,COVER_4_ZONE
1625,2,3,13,SHOTGUN,Incomplete,0,-0.65,0.349,0.832,Moderate,Disciplined,COVER_3_ZONE
1779,2,1,10,SHOTGUN,Complete,8,0.44,0.242,0.621,Loose,Disciplined,COVER_4_ZONE
1933,2,1,20,SHOTGUN,Complete,13,0.25,0.314,0.710,Moderate,Disciplined,COVER_2_ZONE
2044,2,1,10,SHOTGUN,Complete,2,-0.23,0.264,0.122,Loose,Chaotic,COVER_2_ZONE
2074,2,2,8,SHOTGUN,Complete,8,0.79,0.278,0.436,Loose,Mixed,COVER_0_MAN
2104,2,1,10,SHOTGUN,Complete,17,0.79,0.322,0.474,Moderate,Mixed,COVER_3_ZONE
2174,2,1,25,SHOTGUN,Complete,9,0.30,0.312,0.738,Moderate,Disciplined,COVER_3_ZONE
2210,2,2,16,SHOTGUN,Incomplete,0,-0.35,0.366,0.445,Moderate,Mixed,COVER_2_ZONE
2260,2,1,10,SHOTGUN,Incomplete,0,-0.41,0.334,0.753,Moderate,Disciplined,COVER_1_MAN
2366,3,2,9,PISTOL,Complete,4,-0.35,0.281,0.032,Loose,Chaotic,COVER_2_ZONE
2391,3,3,5,EMPTY,Incomplete,0,-1.70,0.361,0.466,Moderate,Mixed,COVER_1_MAN
2490,3,1,10,SHOTGUN,Complete,39,2.66,0.312,0.559,Moderate,Mixed,COVER_3_ZONE
2549,3,2,6,SHOTGUN,Complete,6,1.75,0.305,0.756,Moderate,Disciplined,COVER_1_MAN
2640,3,1,9,SHOTGUN,Complete,9,1.57,0.381,0.244,Moderate,Chaotic,COVER_4_ZONE
2718,3,1,10,SHOTGUN,Incomplete,0,-0.68,0.284,0.518,Loose,Mixed,COVER_4_ZONE
2741,3,2,10,SHOTGUN,Complete,20,2.12,0.314,0.417,Moderate,Mixed,COVER_3_ZONE
2766,3,1,10,SHOTGUN,Complete,5,-0.07,0.232,0.638,Loose,Disciplined,COVER_6_ZONE
2818,3,3,6,SHOTGUN,Incomplete,0,-1.77,0.338,0.100,Moderate,Chaotic,COVER_4_ZONE
2956,3,1,10,SHOTGUN,Complete,34,2.15,0.302,0.661,Moderate,Disciplined,COVER_4_ZONE
2981,3,1,10,I_FORM,Complete,23,1.49,0.278,0.514,Loose,Mixed,COVER_3_ZONE
3028,3,2,9,SHOTGUN,Complete,10,1.06,0.316,0.740,Moderate,Disciplined,COVER_1_MAN
3188,3,1,10,SINGLEBACK,Complete,16,0.89,0.290,0.261,Loose,Chaotic,COVER_4_ZONE
3340,4,3,11,SHOTGUN,Incomplete,0,-1.58,0.303,0.007,Moderate,Chaotic,COVER_1_MAN
3363,4,4,11,SHOTGUN,Complete,-1,-2.44,0.626,0.257,Tight,Chaotic,COVER_1_MAN
3574,4,1,10,SINGLEBACK,Complete,12,0.77,0.291,0.441,Loose,Mixed,COVER_4_ZONE
3610,4,1,10,SHOTGUN,Incomplete,0,-0.62,0.251,0.633,Loose,Disciplined,COVER_6_ZONE
3656,4,3,10,SHOTGUN,Complete,22,2.75,0.417,0.744,Tight,Disciplined,COVER_6_ZONE
3711,4,2,15,SINGLEBACK,Complete,33,3.18,0.386,0.348,Moderate,Mixed,COVER_3_ZONE
3764,4,2,13,SHOTGUN,Complete,9,0.66,0.351,0.641,Moderate,Disciplined,COVER_2_ZONE
3793,4,3,4,SHOTGUN,Complete,5,1.06,0.342,0.617,Moderate,Disciplined,COVER_1_MAN
3823,4,1,10,SINGLEBACK,Complete,5,-0.02,0.337,0.601,Moderate,Disciplined,COVER_4_ZONE
3848,4,2,5,SHOTGUN,Incomplete,0,-0.79,0.374,0.409,Moderate,Mixed,COVER_4_ZONE
3871,4,3,5,SHOTGUN,Complete,12,2.85,0.369,0.665,Moderate,Disciplined,COVER_6_ZONE
4055,4,2,19,SHOTGUN,Complete,10,0.17,0.337,0.145,Moderate,Chaotic,COVER_6_ZONE
4085,4,3,9,SHOTGUN,Incomplete,0,-1.50,0.348,0.424,Moderate,Mixed,COVER_3_ZONE
4108,4,4,9,SHOTGUN,Complete,9,3.15,0.682,0.474,Tight,Mixed,COVER_0_MAN
4190,4,2,1,SHOTGUN,Incomplete,0,-0.46,0.285,0.611,Loose,Disciplined,COVER_6_ZONE
4213,4,3,1,SHOTGUN,Complete,24,1.91,0.368,0.685,Moderate,Disciplined,COVER_3_ZONE
4238,4,1,10,SHOTGUN,Complete,7,0.67,0.297,0.442,Loose,Mixed,COVER_4_ZONE
4263,4,2,3,SHOTGUN,Incomplete,0,-0.72,0.352,0.688,Moderate,Disciplined,COVER_6_ZONE
4419,4,4,17,SHOTGUN,Interception,0,-3.49,0.581,0.560,Tight,Mixed,COVER_4_ZONE
