Play,Qtr,Down,Dist,Formation,Result,Yards,EPA,DCI,DIS,DCI Rating,DIS Rating,Coverage
2027,2,2,11,SHOTGUN,Complete,8,0.35,0.282,0.118,Loose,Chaotic,COVER_4_ZONE
2241,3,2,7,SINGLEBACK,Complete,21,2.00,0.281,0.493,Loose,Mixed,COVER_6_ZONE
2343,3,4,4,EMPTY,Complete,15,3.95,0.403,0.062,Tight,Chaotic,COVER_1_MAN
2420,3,2,6,SHOTGUN,Incomplete,0,-1.05,0.364,0.616,Moderate,Disciplined,COVER_4_ZONE
2466,3,4,6,SHOTGUN,Incomplete,0,-3.12,0.342,0.138,Moderate,Chaotic,COVER_4_ZONE
2518,3,2,7,SHOTGUN,Complete,80,5.36,0.322,0.639,Moderate,Disciplined,COVER_1_MAN
2565,3,2,7,SHOTGUN,Complete,8,2.10,0.325,0.595,Moderate,Mixed,COVER_1_MAN
2639,3,1,10,SINGLEBACK,Complete,7,0.27,0.245,0.296,Loose,Chaotic,COVER_6_ZONE
2671,3,2,3,EMPTY,Incomplete,0,-0.93,0.288,0.390,Loose,Mixed,COVER_4_ZONE
2786,3,4,1,EMPTY,Interception,0,-3.38,0.411,0.071,Tight,Chaotic,COVER_3_ZONE
2970,3,1,10,SHOTGUN,Complete,19,1.22,0.245,0.428,Loose,Mixed,COVER_6_ZONE
3022,3,2,1,SHOTGUN,Complete,2,-0.22,0.238,0.246,Loose,Chaotic,COVER_3_ZONE
3047,3,1,10,SINGLEBACK,Complete,2,-0.50,0.304,0.348,Moderate,Mixed,COVER_3_ZONE
3116,4,3,19,SHOTGUN,Complete,26,3.54,0.294,0.010,Loose,Chaotic,COVER_3_ZONE
3152,4,1,10,SHOTGUN,Complete,9,-0.58,0.320,0.719,Moderate,Disciplined,COVER_3_ZONE
3273,4,1,10,SHOTGUN,Complete,15,1.24,0.302,0.491,Moderate,Mixed,COVER_3_ZONE
3405,4,2,18,SHOTGUN,Complete,-1,-0.61,0.323,0.571,Moderate,Mixed,COVER_4_ZONE
3498,4,1,10,SHOTGUN,Complete,0,-0.55,0.274,0.050,Loose,Chaotic,COVER_4_ZONE
3523,4,2,10,SHOTGUN,Complete,7,-0.08,0.307,0.679,Moderate,Disciplined,COVER_2_ZONE
3553,4,3,3,SHOTGUN,Complete,5,1.12,0.318,0.412,Moderate,Mixed,COVER_3_ZONE
3583,4,1,10,SHOTGUN,Complete,7,0.40,0.198,0.182,Loose,Chaotic,COVER_3_ZONE
3608,4,2,3,SHOTGUN,Complete,8,0.52,0.306,0.546,Moderate,Mixed,COVER_6_ZONE
3633,4,1,10,SHOTGUN,Complete,8,0.59,0.314,0.633,Moderate,Disciplined,COVER_4_ZONE
3658,4,2,2,SHOTGUN,Complete,6,0.22,0.328,0.257,Moderate,Chaotic,COVER_6_ZONE
3683,4,1,10,SHOTGUN,Complete,2,-0.29,0.296,0.387,Loose,Mixed,COVER_3_ZONE
3708,4,2,8,SHOTGUN,Complete,12,1.22,0.297,0.427,Loose,Mixed,COVER_3_ZONE
3761,4,2,10,SHOTGUN,Incomplete,0,-0.75,0.320,0.724,Moderate,Disciplined,COVER_0_MAN
3784,4,3,10,EMPTY,Incomplete,0,-1.12,0.374,0.774,Moderate,Disciplined,COVER_1_MAN
3807,4,4,10,SHOTGUN,Incomplete,0,-3.38,0.444,0.731,Tight,Disciplined,COVER_1_MAN
3886,4,3,5,SHOTGUN,Incomplete,0,-1.25,0.363,0.432,Moderate,Mixed,COVER_1_MAN
3950,4,1,10,SHOTGUN,Incomplete,0,-0.46,0.296,0.286,Loose,Chaotic,COVER_3_ZONE
3980,4,2,10,SHOTGUN,Incomplete,0,-0.51,0.309,0.292,Moderate,Chaotic,COVER_3_ZONE
4003,4,3,10,SHOTGUN,Complete,5,-1.19,0.310,0.048,Moderate,Chaotic,COVER_1_MAN
4028,4,4,5,SHOTGUN,Complete,6,2.86,0.304,0.207,Moderate,Chaotic,COVER_2_ZONE
4053,4,1,10,SHOTGUN,Incomplete,0,-0.39,0.306,0.143,Moderate,Chaotic,COVER_3_ZONE
